Dagsetning,Áfangi,Verkefni,Vægi
þriðjudagur 31. mars,ARC Pe,March Training Recording and Quiz - Group Tutoring Dynamics,5.0
miðvikudagur 8. apríl,COMPSCI,"Hw #13: Recursions\, Plotting in Python\, Tree Traversals",5.0
mánudagur 23. mars,COMPSCI 32,Hw #10: Find colliding words,5.0
miðvikudagur 25. mars,COMPSCI 32,FP Dreams,5.0
miðvikudagur 25. mars,COMPSCI 32,Quiz #5,5.0
mánudagur 30. mars,COMPSCI 32,Hw #11: An informed search,5.0
miðvikudagur 1. apríl,COMPSCI 32,FP Choice,5.0
miðvikudagur 1. apríl,COMPSCI 32,Hw #12: Classes in OO programming,5.0
miðvikudagur 1. apríl,COMPSCI 32,PSet #5: Check-In (steps 1-4),5.0
mánudagur 6. apríl,COMPSCI 32,Quiz #6,5.0
miðvikudagur 8. apríl,COMPSCI 32,FP Design,5.0
föstudagur 10. apríl,COMPSCI 32,PSet #5: Final Turn-In,5.0
mánudagur 13. apríl,COMPSCI 32,Hw #14: Playing with a RE,5.0
miðvikudagur 15. apríl,COMPSCI 32,Pset #6: Check-In (steps 1-3),5.0
miðvikudagur 15. apríl,COMPSCI 32,Hw #15: Examining bias in data,5.0
föstudagur 17. apríl,COMPSCI 32,Pset #6: Final Turn-In,5.0
miðvikudagur 22. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving,5.0
miðvikudagur 22. apríl,COMPSCI 32,Hw #16: Bug hunting with repl32.py,5.0
fimmtudagur 23. apríl,COMPSCI 32,FP Status,5.0
mánudagur 27. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving,5.0
miðvikudagur 29. apríl,COMPSCI 32,COMPSCI 32: Computational Thinking and Problem Solving,5.0
mánudagur 4. maí,COMPSCI 32,FP Submission,5.0
mánudagur 14. desember,HEB 1,Extra Credit Assignment: Analysis of HEB 55 sleep diary data,55.0
þriðjudagur 29. september,HEB 117,Week 2 Homework,5.0
mánudagur 19. október,HEB 117,Mini Project: Gene expression in sleepy mice,5.0
mánudagur 2. nóvember,HEB 117,Session 6 Homework,5.0
þriðjudagur 10. nóvember,HEB 117,Individual Research Project Planning Form,5.0
mánudagur 14. desember,HEB 117,Final draft of individual research report,5.0
mánudagur 30. mars,LIFESCI 1B,PIE 3: Lectures 12-15,5.0
laugardagur 4. apríl,LIFESCI 1B,Problem Set (PSet) 6,5.0
laugardagur 18. apríl,LIFESCI 1B,Problem Set (PSet) 7,5.0
mánudagur 20. apríl,LIFESCI 1B,PIE 4: Lectures 17-22,5.0
laugardagur 25. apríl,LIFESCI 1B,Problem Set (Pset) 8,5.0
þriðjudagur 28. apríl,LIFESCI 1B,Lab Assignment 3 (Microbiome write-up),5.0
föstudagur 27. mars,MCB 128,b3_homework,5.0
föstudagur 3. apríl,MCB 128,quiz 4,5.0
föstudagur 10. apríl,MCB 128,b4_homework,5.0
föstudagur 17. apríl,MCB 128,quiz 5,5.0
föstudagur 24. apríl,MCB 128,b5_homework,5.0
miðvikudagur 6. maí,MCB 128,b6_homework,5.0
þriðjudagur 5. maí,NEURO 91,Final report (or thesis proposal),5.0
